% Model,NACA.mph
% Version,COMSOL 6.0.0.405
% Date,"Apr 25 2025, 16:58"
% Table,Groupe d'évaluations 1 - 
% alpha (deg),"Traction totale, frontières extérieures, composante x (N/m)","Traction totale, frontières extérieures, composante y (N/m)",x*spf.T_stressy+y*spf.T_stressx (N)
0,-56.94038108943093,-17.731025860476358,-0.6624302786296746
2,-72.03645074590405,1036.8833685545778,-34.788120386010874
4,-110.35346760191598,2049.461746008578,-68.75505491169264
6.000000000000001,-179.214147308732,2938.829920468434,-102.7511418657454
8,-282.6901824683189,3662.525390904052,-134.97517716432455
10,-426.8398013989566,4156.300511291889,-158.79999221560405
12.000000000000002,-595.4909899258203,4279.575010088007,-165.76530757478662
14,-807.5537496809965,4118.452866693386,-142.6763103723675
16,-1028.3625373347215,3907.375534081442,-101.62588113083481
18,-1255.7230963419886,3764.2875809815414,-64.0652603330727
20,-1485.5616910881383,3824.076156141308,-47.513527449517255
22,-1707.677985039506,3838.4891798120825,-31.023758539309387
24.000000000000004,-1992.8222674966635,4089.7874003320217,-21.287844746385474
26,-2242.291410522668,4200.7006711838885,-15.090189885319782
28,-2548.0727544278093,4439.244894412699,-10.249324581006611
29.999999999999996,-2837.8286870829374,4593.020138037815,-8.754555027606484
32,-3158.1081388647835,4771.703086566932,-8.651006557806316
34,-3500.7027299309707,4967.678918519438,-11.553927741469064
36,-3852.340294530886,5121.473810675882,-15.953783184992472
38,-4227.0618207294265,5287.644703309553,-24.00786603379073
40,-4625.405043341449,5442.563731221236,-34.25024515926597
42,-4988.852164438573,5519.941779820457,-48.22925886201051
44,-5388.962482812922,5616.361888463635,-65.80851733875714
46,-5777.448298639755,5658.167000620282,-85.41612609532265
48.00000000000001,-6184.930393239453,5694.344306766339,-108.77203407419437
50,-6640.045873619418,5743.419624765001,-135.6612634746473
52,-7069.32828662134,5740.549537098093,-166.36343893281753
54,-7505.812852594859,5719.855235450896,-200.52435147111478
56,-7929.168092386437,5659.918012524183,-237.6048103524458
58.00000000000001,-8339.400556859604,5563.629308674249,-276.44360280149925
59.99999999999999,-8733.179136101871,5433.924233131131,-317.97455990114844
62,-9128.3134914081,5284.922480660416,-362.5980153670229
64,-9519.642406268198,5116.103103316204,-408.4319107520739
66,-9881.282520788265,4907.629239036677,-456.4755980344895
68,-10255.170604102494,4697.868209004296,-504.4949430284356
70,-10590.38703000246,4447.50784166095,-553.5087428707183
72,-10896.741447243394,4167.677674522066,-600.5719849864271
74,-11162.887838126158,3857.052706682317,-646.9573001766784
76,-11420.227256049626,3543.3499569050286,-692.6409033362381
78,-11625.275661288179,3190.5943919725582,-734.0459305015926
80,-11803.28090409829,2830.562641486469,-772.7246698446389
82,-11961.447480573615,2457.656610451798,-810.4842145199433
84,-12082.042460300803,2076.4252382815384,-842.9327761213302
86,-12170.445908505204,1686.2938668732781,-870.0983518303809
88,-12219.236217743894,1286.788241342772,-891.8467461785231
90,-12229.442401830891,883.653680299679,-909.4468986531912
92,-12200.563011514623,482.88076048902957,-920.4522175668445
94,-12136.678215514143,82.77981271097367,-925.779387464532
96.00000000000001,-12031.00014540501,-317.8389143089249,-924.1937857572892
98,-11892.824901504857,-708.6572017579939,-915.1062246993405
100,-11736.105327026373,-1085.5741199845297,-901.3362836457932
102,-11516.521102847284,-1444.821973664423,-879.7337711940594
104,-11285.09357418514,-1791.524428525082,-854.1548625352193
106,-11028.004131014703,-2132.0943950651613,-820.8055991859038
108,-10744.006242320735,-2444.7757092218153,-782.8433030958998
110,-10429.680729384527,-2734.0348363432668,-739.7942652910406
112,-10111.795879549925,-3007.0277700182673,-693.2785864514849
114.00000000000001,-9759.757266978586,-3255.2173664915476,-640.3528992017447
116.00000000000001,-9366.529780276762,-3471.5711424575943,-583.7429594487127
118.00000000000001,-8966.400043277497,-3659.411379031633,-523.0403078358727
119.99999999999999,-8537.811005068024,-3812.925634185372,-458.8300650178467
122,-8092.231975162697,-3927.7985190935765,-393.63819231221595
124,-7660.52067498627,-4032.5270269771963,-327.9576830416633
126,-7202.37676323911,-4092.7598063262776,-261.5598947705298
128,-6798.038119461949,-4159.262878628391,-197.13498574623623
130,-6352.542892823361,-4161.004364297311,-131.49794925767642
132,-5971.55092788919,-4190.636484998897,-68.16045897113638
134,-5524.391920269044,-4134.637485610766,-6.212881378320095
136,-5063.633432179711,-4030.0876108703433,52.34080552021155
138,-4637.58900621486,-3915.246962670751,108.13092616784809
140,-4250.948747184005,-3802.5441061819297,161.82688622719135
142,-3913.2998741816646,-3713.799365049067,212.9015456452705
144,-3500.246909460389,-3490.0394782706917,256.6005337839699
146,-3107.437032025234,-3238.1536606510185,294.85866250781453
148,-2780.100013449899,-3046.7509544296304,330.7029983347966
150,-2491.320509809418,-2860.209753764743,365.6077676508766
152,-2187.6234618184003,-2610.9098738303896,390.1982039409966
154,-1913.0379214314205,-2353.868648987302,410.2510471294126
156,-1683.388594105481,-2148.667151079807,429.2890037768627
158,-1471.793630012351,-1977.4309132721942,444.741892735437
160,-1306.6237415686703,-1949.8065705937174,472.9242214414742
162,-1129.7195749499053,-1899.1799877609453,507.7888565916206
164,-961.0846713836428,-1884.9472281271849,544.0522274780525
166,-795.1399154062437,-1972.3778758624849,600.2963830900202
168,-626.4073383410125,-1833.766805030376,595.6920261980873
170,-467.86246488399377,-1706.802514953588,549.2032838680235
172,-322.905885846121,-1589.298817091785,476.94003481313854
174,-209.37270812485826,-1738.4791403695947,399.7030928016518
176,-125.72822907614506,-1592.943415537392,293.167563060407
178,-59.42302341936901,-985.4130478866368,156.74905689493374
180,-35.979382116291745,26.66469325485758,-1.4014792291609677
